Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Immune responses and pathogenesis of SARS-CoV-2 during an outbreak in Iran: Comparison with SARS and MERS,"Rokni, Mohsen; Ghasemi, Vida; Tavakoli, Zahra","Summary The beginning of 2020 has seen the emergence of COVID-19, an outbreak caused by a novel coronavirus, SARS-CoV-2, an important pathogen for humans. There is an urgent need to better understand this new virus and to develop ways to control its spread. In Iran, the first case of the COVID-19 was reported after spread from China and other countries. Fever, cough, and fatigue were the most common symptoms of this virus. In worldwide, the incubation period of COVID-19 was 3 to 7?days and approximately 80% of infections are mild or asymptomatic, 15% are severe, requiring oxygen, and 5% are critical infections, requiring ventilation. To mount an antiviral response, the innate immune system recognizes molecular structures that are produced by the invasion of the virus. COVID-19 infection induces IgG antibodies against N protein that can be detected by serum as early as day 4 after the onset of disease and with most patients seroconverting by day 14. Laboratory evidence of clinical patients showed that a specific T-cell response against SARS-CoV-2 is important for the recognition and killing of infected cells, particularly in the lungs of infected individuals. At present, there is no specific antiviral therapy for COVID-19 and the main treatments are supportive. In this review, we investigated the innate and acquired immune responses in patients who recovered from COVID-19, which could inform the design of prophylactic vaccines and immunotherapy for the future.",2020,,Reviews in Medical Virology,n/a,n/a,,,10.1002/rmv.2107,45188,#42032,Rokni 2020,,,42032,09-04-20
Letter from China,"Guan, Wei-jie; Zhong, Nan-shan",,2020,,Respirology,n/a,n/a,,,10.1111/resp.13817,45177,#42033,Guan 2020,,,42033,09-04-20
Response letter to COIVD-19 Disease: Tackling a pandemic in 21st Century,"Qian, Guo-Qing; Ma, Ada Hoi Yan; Yang, Nai-Bin; Ruan, Lie-Min",,2020,,QJM: An International Journal of Medicine,,,,,10.1093/qjmed/hcaa118,45092,#42034,Qian 2020,,,42034,09-04-20
Management of orthodontic emergencies during 2019-NCOV,"Caprioglio, Alberto; Pizzetti, Giulia B.; Zecca, Piero Antonio; Fastuca, Rosamaria; Maino, Giuliano; Nanda, Ravindra",,2020,,Progress in orthodontics,21,1,10-Oct,,10.1186/s40510-020-00310-y,45134,#42035,Caprioglio 2020,,,42035,09-04-20
Mit Immanuel Kant in die zweite Welle der gegenwärtigen Pandemie,"Weigl, Josef","Die Wirkung der größten Einschränkung der Bewegungsfreiheit der deutschen Bürger seit Ende des Zweiten Weltkrieges und der Ölkrise 1973 als beabsichtigte Bremswirkung auf die 1. Welle der Pandemie wird soeben erwartet. Die Planungen zum weiteren Vorgehen für die kommenden Wochen und Monate müssen jetzt angestrengt werden. Unter Zuhilfenahme der Philosophie von Kant sollen die Überlegungen und Planungen geordnet werden. Die Modellierung der Forscher des Imperial College, London, lassen eine übermächtige 2. Welle für den Herbst/Winter 2020 erwarten, wenn die jetzigen Maßnahmen zu lange aufrechterhalten werden. Eine baldige Lockerung der Maßnahmen ist angezeigt, um eine fraktionierte Durchseuchung der Bevölkerung, ohne konsekutive Überlastung der Versorgungsstrukturen, allen voran der Verfügbarkeit von Beatmungsplätzen, noch vor der nächsten Influenzasaison 2020/2021 zu ermöglichen. Die Aussicht auf einen allenfalls marginal vor der Zulassung geprüften Impfstoff vor Beginn der 2. Welle, der dann höchstens für Menschen mit einem sowieso hohen Risiko bei SARS-CoV‑2 in Frage käme, sollte jetzt zu keinen Verzögerungen bei den auszudifferenzierenden, intermittierenden Lockerungen führen. Weitere, noch detailliertere und voneinander unabhängige Modellierungen auf der Basis deutscher Daten sind dringend notwendig. Ein über die Hierarchien hinweg heterogenes Gremium müsste darauf basierend die differentiellen Lockerungen diskutieren und in Anbetracht von erheblichen Restunsicherheiten beschließen.",2020,,Prävention und Gesundheitsförderung,,,01-Sep,,10.1007/s11553-020-00783-z,45210,#42036,Weigl 2020,,,42036,09-04-20
COVID-19: The Uninvited Guest in the Intensive Care Unit (ICU) Implications for Pharmacotherapy,"Stringer, Kathleen A.; Puskarich, Michael A.; Kenes, Michael T.; Dickson, Robert P.","Abstract As the number of cases of COVID-19 (SARS-CoV-2) rise in the United States (US), the number of severe cases (those requiring ICU admission) rise with it. Initially, the estimate for severe cases was approximated at 5% based on experience from China.1, 2 However, the World Health Organization?s (WHO) estimate from China for severe and critical cases is near 20% (Table).3 The primary clinical feature of COVID-19 is pneumonia, the severity of which directs the clinical course; it has been estimated that, of patients admitted to the ICU, up to half may require either invasive or non-invasive ventilatory support.4 This has created an unprecedented situation for emergency and critical care medicine.",2020,,Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,n/a,n/a,,,10.1002/phar.2394,45184,#42038,Stringer 2020,,,42038,09-04-20
Therapeutic Potential for Tetracyclines in the Treatment of COVID-19,"Sodhi, Mohit; Etminan, Mahyar","Abstract Currently there is a race against time to identify prophylactic and therapeutic treatments against COVID-19. Until these treatments are developed, tested and mass produced, it might be prudent to look into existing therapies that could be effective against this virus. Based on the available evidence we believe that tetracyclines may be effective agents in the treatment of COVID-19. Tetracyclines (e.g. tetracycline, doxycycline, and minocycline) are highly lipophilic antibiotics that are known to chelate zinc compounds on matrix metalloproteinases (MMPs)1. Coronaviruses are also known to heavily rely on host MMPs for survival, cell infiltration, cell to cell adhesion, and replication, many of which have zinc as part of their MMP complex2,3. It is possible that the zinc chelating properties of tetracyclines may also aid in inhibiting COVID-19 infection in humans limiting their ability to replicate within the host.",2020,,Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,n/a,n/a,,,10.1002/phar.2395,45185,#42039,Sodhi 2020,,,42039,09-04-20
COVID-19: Important Therapy Considerations and Approaches in this Hour of Need,"Lodise, Thomas P.; Rybak, Michael J.","Abstract We are living in unprecedented times. While we had near pandemic events in the recent past with SARS (severe acute respiratory syndrome) and MERS (Middle East respiratory syndrome), we have never experienced anything like coronavirus (COVID-19), also known as SARS-CoV-2 infection, since the Spanish flu. In contrast to the Spanish flu where medical care was limited, we are equipped to combat COVID-19 but there is considerable work ahead with many uncertainties. At this critical time, we must come together as one united country and world to stop the spread and provide the best care possible for individuals who contract the virus and develop infection. A number of novel and repurposed therapies agents with activity against SARS-CoV-2 have been identified and most institutions have developed clinical pathways to operationalize their use in appropriate COVID-19 patients.1-3 However, optimal drug therapy decisions for those with moderate to severe COVID-19 infections are extremely challenging at this time as evidence is limited.",2020,,Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,n/a,n/a,,,10.1002/phar.2396,45186,#42040,Lodise 2020,,,42040,09-04-20
Considerations for statin therapy in patients with COVID-19,"Dashti-Khavidaki, Simin; Khalili, Hossein","Abstract Current coronavirus pandemic named coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). SARS-CoV-2 is the third coronavirus outbreak during the current century after severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) coronaviruses.1 Acute respiratory distress syndrome (ARDS) is an immunopathologic event and main cause of death following COVID-19. The main mechanism of ARDS is uncontrolled systemic inflammatory response and cytokine storm following release of proinflammatory cytokines (such as interferons (IFN), interleukines (IL), tumor necrosis factor (TNF)-α) and chemokines.2-3 So, some Chinese researchers proposed or used anti-inflammatory agents in the treatment regimen of patients with COVID-19.3-4",2020,,Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,n/a,n/a,,,10.1002/phar.2397,45187,#42041,Dashti-Khavidaki 2020,,,42041,09-04-20
Special considerations for the management of COVID-19 pediatric patients in the operating room and pediatric intensive care unit in a tertiary hospital in Singapore,"Thampi, Swapna; Yap, Andrea; Lijia, Fan; Ong, Jacqueline","COVID-19 was first identified in Wuhan, China and is caused by the novel coronavirus SARS-CoV 2. It has now spread rapidly to over 190 countries and territories around the world and has been declared a global pandemic by the World Health Organization. The virus is spread through droplet transmission and currently has a mortality rate of over 4% globally. The pediatric population has been found to be less susceptible to the disease with the majority of children having milder symptoms and only one pediatric death being reported globally so far. Despite this, strategies need to be put in place to prevent further spread of the virus. We present a summary of the general measures implemented at a large adult and pediatric tertiary hospital in Singapore (National University Hospital) as well as the specific strategies in place for the operating room and pediatric intensive care unit.",2020,,Paediatric anaesthesia,,,,,10.1111/pan.13863,45101,#42042,Thampi 2020,,,42042,09-04-20
Coagulopathy and Antiphospholipid Antibodies in Patients with Covid-19,"Zhang, Yan; Xiao, Meng; Zhang, Shulan; Xia, Peng; Cao, Wei; Jiang, Wei; Chen, Huan; Ding, Xin; Zhao, Hua; Zhang, Hongmin; Wang, Chunyao; Zhao, Jing; Sun, Xuefeng; Tian, Ran; Wu, Wei; Wu, Dong; Ma, Jie; Chen, Yu; Zhang, Dong; Xie, Jing; Yan, Xiaowei; Zhou, Xiang; Liu, Zhengyin; Wang, Jinglan; Du, Bin; Qin, Yan; Gao, Peng; Qin, Xuzhen; Xu, Yingchun; Zhang, Wen; Li, Taisheng; Zhang, Fengchun; Zhao, Yongqiang; Li, Yongzhe; Zhang, Shuyang","Coagulopathy in Critical Illness with Covid-19 The authors describe a 69-year-old man with Covid-19 diagnosed in January 2020 in Wuhan, China, along with two other critically ill patients with Covi...",2020,,New England Journal of Medicine,,,NEJMc2007575-NEJMc2007575,,10.1056/NEJMc2007575,45199,#42043,Zhang 2020,,,42043,09-04-20
Audio Interview: Emerging Tools in the Fight against Covid-19,"Rubin, Eric J.; Baden, Lindsey R.; Morrissey, Stephen","Emerging Tools in the Fight against Covid-19 In this audio interview conducted on April 8, 2020, the editors discuss preventive and therapeutic tools we can hope to see in the weeks ahead, as well ...",2020,,New England Journal of Medicine,382,15,e39-e39,,10.1056/NEJMe2009651,45195,#42044,Rubin 2020,,,42044,09-04-20
Acute stroke management pathway during Coronavirus-19 pandemic,"Baracchini, Claudio; Pieroni, Alessio; Viaro, Federica; Cianci, Vito; Cattelan, Anna M.; Tiberio, Ivo; Munari, Marina; Causin, Francesco","Since the outbreak of the COVID-19 epidemic which in our region, Veneto (Italy), dates back to February, we were confronted with several challenges, but with a constant aim of keeping our Stroke Unit COVID-free. For this reason, in addition to creating a dedicated hot-spot as a pre-triage just outside the Emergency Department, together with the Neuroradiology Unit we obtained a mobile CT unit that could be used by COVID-positive or COVID-suspected patients. Furthermore, thanks to the collaboration with colleagues from different specialties (Infectious Disease, Internal Medicine, Intensive Care, Emergency Medicine), dedicated areas for COVID patients were activated. This led to a substantial change of our acute stoke management pathway. As the number of COVID patients increased, and the WHO declared a state of pandemic, this new stroke pathway has been fully tested. We would like to share our experience and send a clear message to keep a high attention on stroke as an emergency condition, because we have observed a decreased number of patients with minor strokes and TIAs, longer onset-to-door and door-to-treatment times for major strokes, and a reduced number of transfers from spokes. We strongly believe that the general population and family doctors are rightly focused on COVID. However, to remain at home with stroke symptoms does not mean to “stay safe at home”.",2020,,Neurological Sciences,,,01-Mar,,10.1007/s10072-020-04375-9,45221,#42046,Baracchini 2020,,,42046,09-04-20
COVID-19 and cancer: what we know so far,"Sidaway, Peter",,2020,,Nature reviews. Clinical oncology,,,,,10.1038/s41571-020-0366-2,45138,#42048,Sidaway 2020,,,42048,09-04-20
SARS-CoV-2 detection in patients with influenza-like illness,"Kong, Wen-Hua; Li, Yao; Peng, Ming-Wei; Kong, De-Guang; Yang, Xiao-Bing; Wang, Leyi; Liu, Man-Qing","Coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), was first reported in Wuhan, Hubei Province, China in late December 2019. We re-analysed 640 throat swabs collected from patients in Wuhan with influenza-like-illness from 6 October 2019 to 21 January 2020 and found that 9 of the 640 throat swabs were positive for SARS-CoV-2 RNA by quantitative PCR, suggesting community transmission of SARS-CoV2 in Wuhan in early January 2020.",2020,,Nature microbiology,,,,,10.1038/s41564-020-0713-1,45139,#42049,Kong 2020,,,42049,09-04-20
The pandemic in pictures: how coronavirus is changing the world,"Stoye, Emma",,2020,,Nature,,,,,10.1038/d41586-020-01048-7,45137,#42051,Stoye 2020,,,42051,09-04-20
Corticosteroid treatment of patients with coronavirus disease 2019 (COVID-19),"Zha, Lei; Li, Shirong; Pan, Lingling; Tefsen, Boris; Li, Yeshan; French, Neil; Chen, Liyun; Yang, Gang; Villanueva, Elmer V.","OBJECTIVES: To assess the efficacy of corticosteroid treatment of patients with coronavirus disease 2019 (COVID-19). DESIGN, SETTING: Observational study in the two COVID-19-designated hospitals in Wuhu, Anhui province, China, 24 January - 24 February 2020. PARTICIPANTS: Thirty-one patients infected with the severe acute respiratory coronavirus 2 (SARS-CoV-2) treated at the two designated hospitals. MAIN OUTCOME MEASURES: Virus clearance time, length of hospital stay, and duration of symptoms, by treatment type (including or not including corticosteroid therapy). RESULTS: Eleven of 31 patients with COVID-19 received corticosteroid treatment. Cox proportional hazards regression analysis indicated no association between corticosteroid treatment and virus clearance time (hazard ratio [HR], 1.26; 95% CI, 0.58-2.74), hospital length of stay (HR, 0.77; 95% CI, 0.33-1.78), or duration of symptoms (HR, 0.86; 95% CI, 0.40-1.83). Univariate analysis indicated that virus clearance was slower in two patients with chronic hepatitis B infections (mean difference, 10.6 days; 95% CI, 6.2-15.1 days). CONCLUSIONS: Corticosteroids are widely used when treating patients with COVID-19, but we found no association between therapy and outcomes in patients without acute respiratory distress syndrome. An existing HBV infection may delay SARS-CoV-2 clearance, and this association should be further investigated.",2020,,The Medical journal of Australia,,,,,10.5694/mja2.50577,45110,#42055,Zha 2020,,,42055,09-04-20
COVID-19 precautions: easier said than done when patients are homeless,"Wood, Lisa J.; Davies, Andrew P.; Khan, Zana",,2020,,The Medical journal of Australia,,,,,10.5694/mja2.50571,45111,#42056,Wood 2020,,,42056,09-04-20
Providing Health Care to Patients with Hearing Loss during COVID-19 and Physical Distancing,"West, Jessica S.; Franck, Kevin H.; Welling, D. Bradley",,2020,,Laryngoscope Investigative Otolaryngology,n/a,n/a,,,10.1002/lio2.382,45183,#42057,West 2020,,,42057,09-04-20
Respiratory health in athletes: facing the COVID-19 challenge,"Hull, James H.; Loosemore, Mike; Schwellnus, Martin",,2020,,The Lancet Respiratory Medicine,,,,,10.1016/S2213-2600(20)30175-2,45245,#42059,Hull 2020,,,42059,09-04-20
Alcohol use and misuse during the COVID-19 pandemic: a potential public health crisis?,"Clay, James M.; Parker, Matthew O.",,2020,,The Lancet Public Health,,,,,10.1016/S2468-2667(20)30088-8,45248,#42060,Clay 2020,,,42060,09-04-20
Recommendations from national regulatory agencies for ongoing cancer trials during the COVID-19 pandemic,"de Paula, Bruno H. R.; Araújo, Indiara; Bandeira, Lívia; Barreto, Nathália M. P. B.; Doherty, Gary J.",,2020,,The Lancet Oncology,,,,,10.1016/S1470-2045(20)30226-6,45246,#42061,dePaula 2020,,,42061,09-04-20
Tuberculosis and HIV responses threatened by COVID-19,"Adepoju, Paul",,2020,,The Lancet HIV,,,,,10.1016/S2352-3018(20)30109-0,45249,#42062,Adepoju 2020,,,42062,09-04-20
Pandemic school closures: risks and opportunities,"Health, The Lancet Child; amp; Adolescent",,2020,,The Lancet Child & Adolescent Health,,,,,10.1016/S2352-4642(20)30105-X,45250,#42063,Health 2020,,,42063,09-04-20
Beware of the second wave of COVID-19,"Xu, Shunqing; Li, Yuanyuan",,2020,,The Lancet,,,,,10.1016/S0140-6736(20)30845-X,45251,#42064,Xu 2020,,,42064,09-04-20
Localising an asset-based COVID-19 response in Ecuador,"Torres, Irene; Sacoto, Fernando",,2020,,The Lancet,,,,,10.1016/S0140-6736(20)30851-5,45244,#42065,Torres 2020,,,42065,09-04-20
"First-wave COVID-19 transmissibility and severity in China outside Hubei after control measures, and second-wave scenario planning: a modelling impact assessment","Leung, Kathy; Wu, Joseph T.; Liu, Di; Leung, Gabriel M.","BackgroundAs of March 18, 2020, 13?415 confirmed cases and 120 deaths related to coronavirus disease 2019 (COVID-19) in mainland China, outside Hubei province?the epicentre of the outbreak?had been reported. Since late January, massive public health interventions have been implemented nationwide to contain the outbreak. We provide an impact assessment of the transmissibility and severity of COVID-19 during the first wave in mainland Chinese locations outside Hubei.",2020,,The Lancet,,,,,10.1016/S0140-6736(20)30746-7,45247,#42066,Leung 2020,,,42066,09-04-20
International expansion of a novel SARS-CoV-2 mutant,"Wang, Minjin; Li, Mengjiao; Ren, Ruotong; Li, Lifeng; Chen, En-Qiang; Li, Weimin; Ying, Binwu",<p>RNA viruses such as coronavirus are rapidly evolving pathogens that can accumulate considerable genetic diversity in relatively short time periods.…</p>,2020,,Journal of Virology,,,,,10.1128/JVI.00567-20,45243,#42067,Wang 2020,,,42067,09-04-20
COVID-19: What Should Interventional Radiologists Know and What Can They Do?,"Zhu, Hai-Dong; Zeng, Chu-Hui; Lu, Jian; Teng, Gao-Jun","The outbreak of coronavirus disease 2019 (COVID-19) in late December 2019 in Wuhan, China, has been characterized as a “pandemic” by the World Health Organization and has resulted in 81,603 confirmed cases in China, among the 334,981 cases confirmed in 189 countries as of 09:00 am, March 24, 2020 (China central standard time). During the past 3 months, hundreds of thousands of Chinese health care workers, including interventional radiologists (IRs), have been fighting this battle against the horrifying COVID-19 disease. As IRs, what should we know and what can we do when facing this challenge? This paper shares the experience we have gone through.",2020,,Journal of Vascular and Interventional Radiology,,,,,https://doi.org/10.1016/j.jvir.2020.03.022,45165,#42071,Zhu 2020,,,42071,09-04-20
Preparing IR for COVID-19: The Singapore Experience,"Gogna, Apoorva; Punamiya, Sundeep; Gopinathan, Anil; Irani, Farah; Toh, Luke Han Wei; Wen, Lawrence Cheong Hsueh; Babu, Suresh; Wee, Bernard; Goh, Peter; Peng, Tan Bien; Damodharan, Karthikeyan; Venkatanarasimha, Nanda; Min, Shaun Chan Ju; Chandramohan, Sivanathan; Wei, Too Chow; Chung, Raymond; Jin, Ong Shao; Tan, Andrew; Soo, Tan Bien; Hiong, Tay Kiang","This paper describes country-wide special measures undertaken for interventional radiology (IR) staff during the current coronavirus disease 2019 (COVID-19) pandemic. Although each IR service around the world faces unique challenges, the principles outlined in this paper will be useful when designing or strengthening individual practices and integrating them within wider hospital and national measures. Moving beyond the current outbreak, these measures will be useful for any future infectious diseases which are likely to arise.",2020,,Journal of Vascular and Interventional Radiology,,,,,https://doi.org/10.1016/j.jvir.2020.03.021,45166,#42072,Gogna 2020,,,42072,09-04-20
COVID-19 pandemic: stop panic abandonment of household pets,"Huang, Qiao; Zhan, Xiang; Zeng, Xian-Tao",<p>Panic abandonment of household pets during the COVID-19 pandemic is not justified.</p>,2020,,Journal of Travel Medicine,,,,,10.1093/jtm/taaa046,45097,#42074,Huang 2020,,,42074,09-04-20
Spread of Novel Coronavirus by Returning Pilgrims from Iran to Pakistan,"Badshah, Syed Lal; Ullah, Asad; Badshah, Syed Hilal; Ahmad, Irshad",,2020,,Journal of Travel Medicine,,,,,10.1093/jtm/taaa044,45087,#42075,Badshah 2020,,,42075,09-04-20
Tissue Plasminogen Activator (tPA) Treatment for COVID-19 Associated Acute Respiratory Distress Syndrome (ARDS): A Case Series,"Wang, Janice; Hajizadeh, Negin; Moore, Ernest E.; McIntyre, Robert C.; Moore, Peter K.; Veress, Livia A.; Yaffe, Michael B.; Moore, Hunter B.; Barrett, Christopher D.","Abstract A hallmark of severe COVID-19 is coagulopathy, with 71.4% of patients who die of COVID-19 meeting ISTH criteria for disseminated intravascular coagulation (DIC) while only 0.6% of patients who survive meet these criteria (1). Additionally, it has become clear that this is not a bleeding diathesis but rather a predominantly pro-thrombotic DIC with high venous thromboembolism rates, elevated D-dimer levels, high fibrinogen levels in concert with low anti-thrombin levels, and pulmonary congestion with microvascular thrombosis and occlusion on pathology in addition to mounting experience with high rates of central line thrombosis and vascular occlusive events (e.g. ischemic limbs, strokes, etc.) observed by those who care for critically ill COVID-19 patients (1-7). There is evidence in both animals and humans that fibrinolytic therapy in Acute Lung Injury and ARDS improves survival, which also points to fibrin deposition in the pulmonary microvasculature as a contributory cause of ARDS and would be expected to be seen in patients with ARDS and concomitant diagnoses of DIC on their laboratory values such as what is observed in more than 70% of those who die of COVID-19 (8-10).",2020,,Journal of Thrombosis and Haemostasis,n/a,n/a,,,10.1111/jth.14828,45176,#42076,Wang 2020,,,42076,09-04-20
Rapid Design and Implementation of an Integrated Patient Self-Triage and Self-Scheduling Tool for COVID-19,"Judson, Timothy J.; Odisho, Anobel Y.; Neinstein, Aaron B.; Chao, Jessica; Williams, Aimee; Miller, Christopher; Moriarty, Tim; Gleason, Nathaniel; Intinarelli, Gina; Gonzales, Ralph",,2020,,Journal of the American Medical Informatics Association,,,,,10.1093/jamia/ocaa051,45093,#42077,Judson 2020,,,42077,09-04-20
American Geriatrics Society (AGS) Policy Brief: COVID-19 and Nursing Homes,"Trucil, Daniel","Abstract This policy brief sets forth American Geriatrics Society (AGS) recommendations to guide federal, state, and local governments when making decisions about care for patients with COVID-19 in nursing homes (NHs) and other long-term care facilities (LTCFs). The AGS continues to review guidance set forth in peer-reviewed articles and editorials, as well as ongoing and updated guidance from the Centers for Medicare and Medicaid Services (CMS), the Centers for Disease Control and Prevention (CDC), and other key agencies. This brief is based on the situation and any federal guidance/actions as of April 4, 2020. It is focused on NHs and other LTCFs, given their essential role in addressing the COVID-19 pandemic. This article is protected by copyright. All rights reserved.",2020,,Journal of the American Geriatrics Society,n/a,n/a,,,10.1111/jgs.16477,45175,#42078,Trucil 2020,,,42078,09-04-20
On Isolation: Gowns and Glass,"Leung, Krystle M.",,2020,,Journal of the American Geriatrics Society,n/a,n/a,,,10.1111/jgs.16463,45174,#42079,Leung 2020,,,42079,09-04-20
