WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
912,AZE,LUR,Azerbaijan,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Azerbaijan manat Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.777,10.913,10.037,9.167,7.987,7.256,6.615,6.326,5.856,5.742,5.631,5.424,5.185,4.973,4.913,4.958,5.043,5.039,4.994,4.971,4.993,4.986,2018
313,BHS,LUR,The Bahamas,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Bahamian dollar Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,12.2,11.5,11,11.7,12,12.3,14.8,13.1,13.292,10.9,11.505,9.779,7.743,7.796,7,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35,13.381,15.203,13.615,2018
419,BHR,LUR,Bahrain,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: Other Latest actual data: 2018 Employment type: National definition Primary domestic currency: Bahrain dinar Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.6,3.7,4,3.6,4,3.7,4.392,3.767,3.358,3.7,3.636,3.894,4.003,4.687,3.81,2018
513,BGD,LUR,Bangladesh,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,BRB,LUR,Barbados,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Barbados dollar Data last updated: 04/2020,n/a,10.76,13.65,14.945,17.037,18.631,17.735,17.934,17.137,15.244,14.945,17.236,22.915,24.41,21.75,19.625,15.75,14.55,12.15,10.35,9.35,9.85,10.3,11,9.575,9.075,8.725,7.425,8.125,9.975,10.25,11.15,11.5,11.625,12.275,11.3,9.65,9.95,10.05,10.357,13.41,11.448,2018
913,BLR,LUR,Belarus,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Employment type: National definition Primary domestic currency: Belarusian rubel Data last updated: 04/2020",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,0.5,1.4,2.1,2.896,4.022,2.787,2.339,2.1,2.115,2.257,2.652,3.135,2.522,1.704,1.416,1.063,0.94,0.901,0.827,0.668,0.614,0.508,0.488,0.912,1.017,0.768,0.428,0.308,2.322,1.829,2018
124,BEL,LUR,Belgium,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: Central Bank. Some indicators have been affected by the benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/2020,8.3,10,11.5,10.742,10.825,10.117,10.05,9.808,8.833,7.367,6.558,6.45,7.092,8.625,9.75,9.683,9.55,9.217,9.342,8.425,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.908,8.325,7.15,7.55,8.45,8.55,8.492,7.842,7.108,5.958,5.358,7.3,6.8,2019
339,BLZ,LUR,Belize,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019. Data for 2010 and 2011 are staff estimates because there was no labor force survey conducted for those years. Employment type: National definition Primary domestic currency: Belize dollar Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,14,12,10,9,12.5,13.8,12.7,14.3,12.8,11.4,9.066,10,12.9,11.6,11,9.372,8.54,8.2,13.054,13.513,13.972,14.431,11.68,11.056,10.114,9.5,9.3,9.377,9.1,18.676,14.457,2019
638,BEN,LUR,Benin,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,BTN,LUR,Bhutan,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: Central Bank Latest actual data: 2015/16 Employment type: National definition Primary domestic currency: Bhutanese ngultrum Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8,2.5,3.1,3.2,3.7,3.85,4,3.3,3.1,2.1,2.9,2.6,2.5,2.1,3.138,n/a,n/a,n/a,n/a,2016
218,BOL,LUR,Bolivia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Bolivian boliviano Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.462,8.498,8.69,8.708,8.427,8.146,7.992,7.668,4.43,4.913,4.375,3.837,3.229,4,4,4,3.463,3.63,3.493,4,8,4,2018
963,BIH,LUR,Bosnia and Herzegovina,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office. Total population figures are obtained from the CBBH for the period 96-05. Estimates for 06-16 are obtained applying the growth rates published by the International Labour Organization. Latest actual data: 2018 Employment type: National definition Primary domestic currency: Convertible marka Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70,50,32.23,29.272,31.096,31.096,31.096,31.096,31.096,31.096,31.096,31.096,29.013,23.408,24.068,27.202,27.6,28,27.5,27.5,27.7,25.4,20.5,18.4,15.7,18,16.5,2018
616,BWA,LUR,Botswana,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,BRA,LUR,Brazil,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019. Employment rate (from survey) times official population estimates  the National Statistical Office (IBGE) Primary domestic currency: Brazilian real Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.1,11.6,11,10.5,9.9,11.2,11.6,14.7,14.7,13.9,12.5,13,13.7,12.9,11.4,11.5,10.9,9.4,9.7,8.5,7.8,7.4,7.2,6.783,8.283,11.258,12.767,12.258,11.925,14.7,13.5,2019
516,BRN,LUR,Brunei Darussalam,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,"Source: National Statistics Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2018. Unemployment data is not reported for every year. Employment type: National definition Primary domestic currency: Brunei dollar Data last updated: 04/2020",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.3,8.5,7.7,6.9,7.7,8.5,9.3,9.316,9.316,9.316,9.316,2018
918,BGR,LUR,Bulgaria,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Bulgarian lev Data last updated: 04/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.025,2.9,6.78,13.24,15.84,14.05,11.37,10.988,14.023,12.367,13.79,18.134,17.514,17.416,13.857,12.192,10.177,9.022,6.935,5.664,6.878,10.306,11.35,12.379,13.038,11.524,9.233,7.666,6.23,5.2,4.2,8,4.5,2019
748,BFA,LUR,Burkina Faso,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,BDI,LUR,Burundi,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,CPV,LUR,Cabo Verde,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Cabo Verde escudo Data last updated: 04/2020,21.5,21.861,22.229,22.603,22.982,23.369,23.762,24.161,24.567,24.98,25.4,25.827,26,26,26,26,25,25,24,22,20,21,20.5,20,19.5,21.4,13.5,15.2,13,13,10.7,12.2,16.8,16.4,15.8,12.4,15,12.2,12.2,8.5,8.5,8.5,2018
522,KHM,LUR,Cambodia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,CMR,LUR,Cameroon,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,CAN,LUR,Canada,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/2020,7.517,7.617,11.1,12,11.375,10.508,9.608,8.8,7.775,7.508,8.15,10.317,11.217,11.375,10.392,9.467,9.608,9.092,8.292,7.567,6.833,7.225,7.667,7.575,7.158,6.758,6.292,6.033,6.158,8.358,8,7.5,7.325,7.1,6.925,6.9,6.992,6.342,5.833,5.667,7.474,7.214,2019
626,CAF,LUR,Central African Republic,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
